word	frequency
shoe	84
sanction	84
gift	84
sustain	84
arbitrage	84
enormous	84
productivity	84
completion	84
attitude	84
worst	84
behavior	84
rostenkowski	84
detroit	84
allegheny	84
meese	83
accountant	83
philip	83
chemlawn	83
jail	83
alexander	83
cos.	83
arnold	83
refine	83
two-thirds	83
leak	83
resolution	83
republic	83
recession	83
oliver	83
apartment	83
sink	83
behalf	83
philippines	82
historical	82
ward	82
technique	82
mexican	82
bus	82
membership	82
dole	82
nonetheless	82
carl	82
swing	82
italian	82
pont	82
p.	82
english	82
trim	82
react	82
reputation	82
nato	82
beverly	82
forest	81
ethic	81
involvement	81
daughter	81
herald	81
environmental	81
southwest	81
shultz	81
concept	81
green	81
modern	81
nature	81
extent	81
resistance	81
eager	81
practical	81
soft	81
arabia	81
maturity	81
shape	80
reynolds	80
withhold	80
projection	80
error	80
coalition	80
component	80
stark	80
cautious	80
edition	80
guideline	80
walter	80
incur	80
supposed	80
telegraph	80
dean	80
immunity	80
a.m.	80
satisfy	80
stable	80
crucial	80
culture	79
impossible	79
artist	79
enhance	79
superior	79
lewis	79
chancellor	79
optimistic	79
columbia	79
phillips	79
coca-cola	79
satellite	79
disk	79
bag	79
indiana	79
nice	79
elder	79
discourage	79
ec	79
correction	79
second-quarter	78
fellow	78
friendly	78
reader	78
cool	78
meaning	78
guard	78
camp	78
withdrawal	78
harvard	78
sheet	78
border	78
respective	78
conn.	78
newsletter	78
dam	78
chicago-based	78
consideration	77
jackson	77
michigan	77
perfect	77
oklahoma	77
antar	77
prof.	77
rjr	77
nippon	77
bed	77
funaro	77
immune	77
reluctant	77
controversy	77
shed	77
channel	77
sweeten	76
belief	76
fiber	76
bitter	76
pill	76
renew	76
radical	76
everybody	76
pizza	76
arise	76
spirit	76
priority	76
nakasone	76
geneva	76
liquidity	76
precious	76
prudential-bache	76
builder	76
subsequent	76
objection	76
india	76
consensus	75
successor	75
soybean	75
welcome	75
presence	75
brace	75
stephen	75
postpone	75
kennedy	75
conversation	75
asia	75
evaluate	75
per-share	75
mislead	75
frankfurt	75
mca	75
shell	75
beach	75
drink	75
segment	75
stimulate	75
virus	75
nearby	75
lt.	75
ice	75
insured	75
wickes	75
ride	74
therefore	74
praise	74
profit-taking	74
entitle	74
dry	74
cumulative	74
shelf	74
pa.	74
participation	74
busy	74
marked	74
village	74
reveal	74
hang	74
function	74
biotechnology	74
vast	74
secondary	74
onto	74
knowledge	74
taste	74
zero	74
traveler	74
adult	74
wood	74
junk	74
gradual	74
relief	74
objective	73
switzerland	73
proceed	73
sum	73
hutton	73
injury	73
recruit	73
convention	73
treasurer	73
absorb	73
discontinue	73
reply	73
triple	73
daniel	73
deficiency	73
l.p.	73
wholesale	73
soldier	73
barrier	73
mich.	73
host	73
location	73
nov.	73
absolute	73
explore	73
mass	73
failing	72
voluntary	72
automatic	72
medicine	72
calero	72
aspect	72
tisch	72
gop	72
advisory	72
after-tax	72
persian	72
outcome	72
diamond	72
hollywood	72
exclusive	72
metropolitan	72
complicate	72
tenant	72
nbc	72
precise	72
circumstance	72
desk	72
consent	72
ticket	72
cotton	72
inevitable	72
shortage	71
iraqi	71
diplomat	71
float	71
tentative	71
devote	71
hull	71
tour	71
fan	71
examine	71
justify	71
socialist	71
physician	71
automotive	71
label	71
lock	71
ic	71
laser	71
angeles-based	71
rebate	71
bottle	71
sluggish	71
midland	71
patent	70
strain	70
coastal	70
reopen	70
rush	70
mission	70
unveil	70
scott	70
glass	70
credible	70
sing	70
standing	70
helicopter	70
shock	70
install	70
connecticut	70
kansas	70
refinance	70
virginia	70
sam	70
dead	70
holmes	70
stone	70
empire	70
legislative	70
arizona	69
moratorium	69
crow	69
bob	69
